Npp;Name;OnPoint;FieldCoord;Line;PropBorders;IsFictive
204;Point_2N10P_2N12P;;FieldCoord( 'PK_173+70', CoordinateSystem_Picket_AB );Line_PeregIzori_2;(IsolSegment_2N10P,IsolSegment_2N12P);
205;Point_2N12P_2N14P;;FieldCoord( 'PK_176+70' , CoordinateSystem_Picket_AB);Line_PeregIzori_2;(IsolSegment_2N12P,IsolSegment_2N14P);
206;Point_2N14P_2N16P;;FieldCoord( 'PK_179+70' , CoordinateSystem_Picket_AB);Line_PeregIzori_2;(IsolSegment_2N14P,IsolSegment_2N16P);
207;Point_4N2P_4N4P;;FieldCoord( 'PK_162+35' , CoordinateSystem_Picket_AB);Line_PeregIzori_4;(IsolSegment_4N2P,IsolSegment_4N4P);
208;Point_4N4P_4N6P;;FieldCoord( 'PK_165+50', CoordinateSystem_Picket_AB );Line_PeregIzori_4;(IsolSegment_4N4P,IsolSegment_4N6P);
209;Point_4N6P_4N8P;;FieldCoord( 'PK_168+50', CoordinateSystem_Picket_AB );Line_PeregIzori_4;(IsolSegment_4N6P,IsolSegment_4N8P);
210;Point_4N8P_4N10P;;FieldCoord( 'PK_171+10' , CoordinateSystem_Picket_AB);Line_PeregIzori_4;(IsolSegment_4N8P,IsolSegment_4N10P);
211;Point_4N10P_4N12P;;FieldCoord( 'PK_174+65' , CoordinateSystem_Picket_AB);Line_PeregIzori_4;(IsolSegment_4N10P,IsolSegment_4N12P);
212;Point_1N13P_1RC_Izori;Point_Link_Izori_PeregIzori_1;;;(IsolSegment_1N13P,IsolSegment_1RC_Izori);
213;Point_2N16P_2RC_Izori;Point_Link_Izori_PeregIzori_2;;;(IsolSegment_2N16P,IsolSegment_2RC_Izori);
214;Point_4N12P_4RC_Izori;Point_Link_Izori_PeregIzori_4;;;(IsolSegment_4N12P,IsolSegment_4RC_Izori);
215;Point_M1;Point_3SP_2NDP;;;;
216;Point_M2;Point_4CHDP_4SP;;;;
217;Point_M3;Point_1SP_1NP;;;;
218;Point_M4;Point_2CHDP_2SP;;;;
219;Point_M5;Point_5_7SP_4NDP;;;;
220;Point_M6;Point_3CHP_6_8SP;;;;
221;Point_M7;Point_9_13SP_3SP;;;;True
222;Point_M8;Point_1CHP_10SP;;;;True
223;Point_M9;Point_17_19SP_11SP;;;;True
224;Point_M10;Point_CHKAP_12SP;;;;True
225;Point_M11;Point_23SP_9_13SP;;;;
226;Point_M12;Point_12SP_14_24SP;;;;
227;Point_M13;Point_27SP_25SP;;;;
228;Point_M14;Point_4SP_18_26SP;;;;
229;Point_M15;Point_33_37SP_M15P;;;;
230;Point_M16;Point_6_8SP_16_34SP;;;;
231;Point_M17;Point_33_37SP_GroundRC_17;;;;
232;Point_M18;Point_14_24SP_22_36P;;;;
233;Point_M19;Point_33_37SP_GroundRC_19;;;;
234;Point_M20;Point_32SP_38SP;;;;
235;Point_M21;Point_M21_M31P_M21P;;;;
236;Point_M22;Point_22_36P_36_40SP;;;;
237;Point_M23;Point_43_47SP_M23P;;;;
238;Point_M24;Point_50SP_GroundRC;;;;
239;Point_M25;Point_39SP_3AP;;;;
240;Point_M27;Point_3P_39SP;;;;
241;Point_M29;Point_54SP_43_47SP;;;;
242;Point_M31;Point_52SP_M21_M31P;;;;
243;Point_M33;Point_52SP_M33P;;;;
244;Point_1CH;Point_Link_Ribats_Kirov_1;;;;
245;Point_2CHD;Point_Link_Ribats_Kirov_2;;;;
246;Point_3CH;Point_Link_Ribats_Kirov_3;;;;
247;Point_4CHD;Point_Link_Ribats_Kirov_4;;;;
248;Point_CHK;Point_Link_Ribats_PeregKupch;;;;
249;Point_CHM1;Point_1P_29SP;;;;
250;Point_CH1A;Point_1AP_15SP;;;;
251;Point_CH2;Point_2P_23SP;;;;
252;Point_CH3A;Point_3AP_31SP;;;;
253;Point_CH4;Point_4P_27SP;;;;
254;Point_CH5;Point_5P_27SP;;;;
255;Point_CH6;Point_6P_21SP;;;;
256;Point_CH7;Point_7P_17_19SP;;;;
257;Point_CH8;Point_8P_17_19SP;;;;
258;Point_CH11;Point_11P_5_7SP;;;;
259;Point_CH12;Point_12P_5_7SP;;;;
260;Point_CHM7A;Point_7AP_42SP;;;;
261;Point_CHM8A;Point_8AP_44_48SP;;;;
262;Point_N1;Point_30SP_1P;;;;
263;Point_N2;Point_38SP_2P;;;;
264;Point_N3;Point_20SP_3P;;;;
265;Point_N4;;FieldCoord(-254, CoordinateSystem_EC);Line_4Put_Ribats;;
266;Point_N6;Point_36_40SP_6P;;;;
267;Point_N7;Point_42SP_7P;;;;
268;Point_N7A;Point_14_24SP_7AP;;;;
269;Point_NM8;Point_44_48SP_8P;;;;
270;Point_N8A;Point_14_24SP_8AP;;;;
271;Point_NM9_12;Point_54SP_43_47SP;;;;
272;Point_NM3;Point_31SP_3NP;;;;
273;Point_NM1A;Point_29SP_1AP;;;;
274;Point_1N;Point_Link_Ribats_PeregIzori_1;;;;
275;Point_2ND;Point_Link_Ribats_PeregIzori_2;;;;
276;Point_3N;Point_Link_Ribats_Izori_3;;;;
277;Point_4ND;Point_Link_Ribats_PeregIzori_4;;;;
278;Point_O_CHR1;Point_Link_Obuh_Kirov_1;;;;
279;Point_O_CHR2;Point_Link_Obuh_Kirov_2;;;;
280;Point_O_CHR3;Point_Link_Obuh_Kirov_3;;;;
281;Point_O_CHR4;Point_Link_Obuh_Kirov_4;;;;
282;Point_O_2_4;Point_Link_Ribats_Kirov_4;;;;
283;Point_O_2_2;;FieldCoord( 'PK_126+90' , CoordinateSystem_Picket_AB);Line_Kirov_2;;
284;Point_I_CHD;Point_Link_Izori_PeregIzori_1;;;;
285;Point_I_CH;Point_Link_Izori_PeregIzori_2;;;;
286;Point_I_CHR;Point_Link_Izori_PeregIzori_4;;;;
287;Point_I_CHDR;Point_Link_Ribats_Izori_3;;;;
288;Point_I_2_2;;FieldCoord( 'PK_176+30' , CoordinateSystem_Picket_AB);Line_PeregIzori_2;;
289;Point_I_4_2;;FieldCoord( 'PK_167+35' , CoordinateSystem_Picket_AB);Line_PeregIzori_2;;
290;Point_I_6_2;Point_Link_Ribats_PeregIzori_2;;;;
291;Point_I_2_4;;FieldCoord( 'PK_168+10' , CoordinateSystem_Picket_AB);Line_PeregIzori_4;;
292;Point_I_4_4;Point_Link_Ribats_PeregIzori_4;;;;
293;Point_I_1_1;;FieldCoord( 'PK_170+85' , CoordinateSystem_Picket_AB);Line_PeregIzori_1;;
294;Point_I_3_1;;FieldCoord( 'PK_181+90' , CoordinateSystem_Picket_AB);Line_PeregIzori_1;;
295;Point_PCHK;;FieldCoord(-2640, CoordinateSystem_EC);Line_Kupchins;;
